@relation Aggregation.txt-weka.filters.unsupervised.attribute.NumericToNominal-R3-weka.filters.unsupervised.attribute.Standardize

@attribute f1 numeric
@attribute f2 numeric
@attribute label {1,2,3,4,5,6,7}

@data
-0.404837,1.789716,2
-0.470348,1.65374,2
-0.515702,1.752632,2
-0.545937,1.808258,2
-0.586252,1.715547,2
-0.626566,1.764993,2
-0.661841,1.851523,2
-0.616487,1.64756,2
-0.60137,1.523945,2
-0.681998,1.629018,2
-0.722312,1.690825,2
-0.732391,1.758812,2
-0.74247,1.789716,2
-0.621527,1.350885,2
-0.66688,1.455958,2
-0.67192,1.523945,2
-0.777745,1.585753,2
-0.828137,1.709367,2
-0.848295,1.795897,2
-0.838216,1.635198,2
-0.888609,1.672282,2
-0.913805,1.752632,2
-0.999473,1.764993,2
-0.939002,1.616656,2
-0.888609,1.530126,2
-0.792862,1.505403,2
-0.802941,1.449777,2
-0.772705,1.344705,2
-0.702155,1.221091,2
-0.772705,1.276717,2
-0.853334,1.363247,2
-0.908766,1.357066,2
-0.959159,1.455958,2
-1.029709,1.536307,2
-1.034748,1.616656,2
-1.044827,1.684644,2
-1.216162,1.74027,2
-1.110337,1.641379,2
-1.115377,1.591933,2
-1.16073,1.610475,2
-1.180887,1.56103,2
-1.23632,1.635198,2
-1.286712,1.56721,2
-1.266555,1.523945,2
-1.211123,1.499223,2
-1.110337,1.499223,2
-1.064984,1.443596,2
-1.105298,1.418873,2
-1.02467,1.406512,2
-1.120416,1.344705,2
-1.080102,1.289078,2
-0.999473,1.30144,2
-0.908766,1.258175,2
-0.858373,1.202548,2
-0.908766,1.159283,2
-1.01963,1.134561,2
-1.044827,1.202548,2
-1.130495,1.202548,2
-1.23128,1.307621,2
-1.226241,1.39415,2
-1.30687,1.431235,2
-1.357262,1.462138,2
-1.387498,1.579572,2
-1.402616,1.437415,2
-1.437891,1.4745,2
-1.327027,1.38797,2
-1.427812,1.369428,2
-1.432852,1.30144,2
-1.488284,1.344705,2
-1.548755,1.406512,2
-1.327027,1.313801,2
-1.311909,1.251994,2
-1.226241,1.245813,2
-1.422773,1.239633,2
-1.538677,1.21491,2
-1.568912,1.245813,2
-1.634423,1.12838,2
-1.483244,1.097476,2
-1.538677,1.060392,2
-1.382459,1.140741,2
-1.37742,1.159283,2
-1.211123,1.177826,2
-1.281673,1.122199,2
-1.201045,1.103657,2
-1.271595,1.035669,2
-1.357262,1.04185,2
-1.417734,1.04185,2
-1.498362,0.980043,2
-1.589069,0.949139,2
-1.503402,0.86879,2
-1.553794,0.763718,2
-1.437891,0.769899,2
-1.407655,0.813164,2
-1.387498,0.961501,2
-1.327027,0.961501,2
-1.311909,0.862609,2
-1.221202,0.961501,2
-1.226241,0.912055,2
-1.190966,0.86879,2
-1.201045,0.800802,2
-1.271595,0.69573,2
-1.30687,0.732814,2
-1.362302,0.745176,2
-1.427812,0.677188,2
-1.432852,0.603019,2
-1.387498,0.504128,2
-1.337105,0.6092,2
-1.266555,0.584477,2
-1.251437,0.460863,2
-1.23128,0.497947,2
-1.145612,0.726634,2
-1.135534,0.652465,2
-1.135534,0.535032,2
-1.09018,0.572116,2
-1.059945,0.497947,2
-1.029709,0.43614,2
-1.075062,0.429959,2
-1.120416,0.374333,2
-0.959159,0.374333,2
-0.923884,0.318707,2
-1.105298,0.831706,2
-1.100259,0.881151,2
-1.100259,0.95532,2
-1.100259,1.029488,2
-1.070023,1.066573,2
-0.969237,1.048031,2
-1.070023,0.992404,2
-0.999473,0.95532,2
-0.908766,1.004766,2
-0.873491,1.072753,2
-0.828137,1.146922,2
-0.757587,1.140741,2
-0.732391,1.060392,2
-0.792862,0.986224,2
-0.848295,0.973862,2
-0.87853,0.905874,2
-0.87853,0.850248,2
-1.004512,0.881151,2
-0.979316,0.806983,2
-1.029709,0.794621,2
-1.039787,0.677188,2
-0.969237,0.69573,2
-0.893648,0.763718,2
-0.833177,0.806983,2
-0.727352,0.918236,2
-0.651762,0.881151,2
-0.676959,0.813164,2
-0.762627,0.720453,2
-0.863412,0.701911,2
-0.928923,0.596839,2
-0.974277,0.553574,2
-0.903727,0.491767,2
-0.823098,0.510309,2
-0.823098,0.627742,2
-0.727352,0.572116,2
-0.681998,0.689549,2
-0.747509,0.485586,2
-0.858373,0.411417,2
-0.767666,0.380514,2
-0.73743,0.411417,2
-0.656802,0.399056,2
-0.586252,0.491767,2
-0.611448,0.553574,2
-0.59633,0.627742,2
-0.561055,0.708091,2
-0.440112,0.497947,2
-0.409877,0.368152,2
-0.571134,0.361972,2
-0.586252,0.300165,2
-0.747509,0.275442,2
-1.185927,-0.058317,7
-1.080102,-0.101582,7
-1.064984,-0.181931,7
-0.994434,-0.2561,7
-1.16073,-0.157208,7
-1.196005,-0.113943,7
-1.286712,-0.120124,7
-1.30687,-0.08922,7
-1.347184,-0.200473,7
-1.427812,-0.163389,7
-1.397577,-0.237557,7
-1.44797,-0.280822,7
-1.453009,-0.34881,7
-1.382459,-0.367352,7
-1.357262,-0.299364,7
-1.266555,-0.225196,7
-1.261516,-0.212835,7
-1.175848,-0.206654,7
-1.110337,-0.2561,7
-1.180887,-0.287003,7
-1.256477,-0.274642,7
-1.276634,-0.330268,7
-1.281673,-0.404437,7
-1.327027,-0.429159,7
-1.37742,-0.478605,7
-1.327027,-0.484786,7
-1.261516,-0.509509,7
-1.23128,-0.453882,7
-1.201045,-0.379714,7
-1.155691,-0.367352,7
-1.085141,-0.342629,7
-1.135534,-0.447702,7
-1.064984,-0.404437,7
-1.029709,-0.453882,7
-0.94908,-0.392075,4
-0.923884,-0.447702,4
-0.873491,-0.515689,4
-0.80798,-0.490967,4
-0.787823,-0.410617,4
-0.95412,-0.682569,4
-0.858373,-0.626942,4
-0.777745,-0.540412,4
-0.676959,-0.43534,4
-0.67192,-0.305545,4
-0.60137,-0.379714,4
-0.556016,-0.299364,4
-0.510662,-0.293184,4
-0.53082,-0.212835,4
-0.258698,-0.157208,4
-0.379641,-0.194292,4
-0.374602,-0.268461,4
-0.288934,-0.243738,4
-0.334287,-0.305545,4
-0.404837,-0.373533,4
-0.480427,-0.34881,4
-0.515702,-0.422979,4
-0.586252,-0.460063,4
-0.681998,-0.503328,4
-0.646723,-0.540412,4
-0.717273,-0.602219,4
-0.782784,-0.645484,4
-0.853334,-0.707291,4
-0.928923,-0.800002,4
-0.95412,-0.917436,4
-0.833177,-0.769099,4
-0.727352,-0.707291,4
-0.651762,-0.645484,4
-0.641684,-0.596039,4
-0.550977,-0.509509,4
-0.81302,-0.824725,4
-0.828137,-0.898894,4
-0.767666,-0.917436,4
-0.722312,-0.874171,4
-0.73743,-0.812364,4
-0.66688,-0.812364,4
-0.616487,-0.769099,4
-0.626566,-0.732014,4
-0.586252,-0.639304,4
-0.53082,-0.602219,4
-0.475387,-0.571316,4
-0.450191,-0.484786,4
-0.414916,-0.447702,4
-0.324209,-0.410617,4
-0.283895,-0.330268,4
-0.334287,-0.490967,4
-0.419955,-0.503328,4
-0.414916,-0.552774,4
-0.445152,-0.602219,4
-0.435073,-0.682569,4
-0.404837,-0.738195,4
-0.535859,-0.676388,4
-0.535859,-0.732014,4
-0.45523,-0.787641,4
-0.53082,-0.824725,4
-0.606409,-0.830906,4
-0.53082,-0.892713,4
-0.566095,-0.923616,4
-0.656802,-0.892713,4
-0.656802,-0.985423,4
-0.80798,-0.973062,4
-0.88357,-1.028688,4
-0.903727,-1.12758,4
-0.828137,-1.065773,4
-0.747509,-1.084315,4
-0.722312,-1.034869,4
-0.681998,-1.047231,4
-0.59633,-1.022508,4
-0.571134,-1.096676,4
-0.651762,-1.121399,4
-0.707195,-1.146122,4
-0.81302,-1.164664,4
-0.828137,-1.251194,4
-0.722312,-1.21411,4
-0.787823,-1.325363,4
-0.697116,-1.294459,4
-0.621527,-1.21411,4
-0.571134,-1.139941,4
-0.687037,-1.380989,4
-0.606409,-1.362447,4
-0.591291,-1.30064,4
-0.550977,-1.245013,4
-0.495545,-1.12758,4
-0.52578,-1.04105,4
-0.510662,-0.942158,4
-0.445152,-0.874171,4
-0.60137,-1.436615,4
-0.515702,-1.455158,4
-0.500584,-1.374808,4
-0.46027,-1.331543,4
