@relation Compound.txt-weka.filters.unsupervised.attribute.NumericToNominal-R3-weka.filters.unsupervised.attribute.Standardize

@attribute f1 numeric
@attribute f2 numeric
@attribute label {1,2,3,4,5,6}

@data
0.465757,1.724316,1
0.779003,1.724316,1
0.958735,1.502962,1
0.563326,1.450258,1
0.789274,1.260526,1
0.470892,1.070793,1
0.630083,0.902142,1
0.840626,0.817816,1
0.517109,0.57538,1
0.701976,0.42781,1
0.506839,0.185374,1
0.614678,-0.004359,1
0.83549,-0.02544,1
0.517109,-0.425987,1
0.743057,-0.404906,1
0.958735,-0.373284,1
1.11279,-0.700045,1
0.794409,-0.868697,1
0.594137,-0.889778,1
0.506839,-1.290325,1
0.712246,-1.237621,1
0.999816,-1.132214,1
1.282251,-1.142755,1
1.292522,-0.362743,1
1.446577,0.269699,1
1.477388,-0.162469,1
1.693066,0.058885,1
1.857392,0.322403,1
2.057664,0.058885,1
1.898473,-0.246795,1
1.682796,-0.394365,1
1.426036,-0.731667,1
1.65712,-0.752749,1
1.585227,-1.174377,1
1.841986,-1.142755,1
1.908744,-0.700045,1
2.124421,-0.573557,1
2.026853,-1.153296,1
2.078205,0.73349,1
1.852257,0.944304,1
2.088475,1.155118,1
1.924149,1.408095,1
2.057664,1.724316,1
1.708471,1.77702,1
1.662255,1.271066,1
1.338738,1.313229,1
1.133331,1.48188,1
1.225764,1.766479,1
1.369549,1.798101,1
1.472253,1.566206,1
1.143601,1.186741,2
1.09225,1.1762,2
1.046033,1.091874,2
1.051168,0.997008,2
1.087114,1.039171,2
1.128196,1.102415,2
1.179548,1.070793,2
1.148737,1.007549,2
1.11279,0.954845,2
1.087114,0.891601,2
1.210359,0.997008,2
1.194953,0.902142,2
1.143601,0.88106,2
1.087114,0.786194,2
1.123061,0.754572,2
1.184683,0.796735,2
1.225764,0.817816,2
1.246305,0.923223,2
1.307927,0.954845,2
1.287386,0.859979,2
1.328468,0.859979,2
1.37982,0.88106,2
1.359279,0.997008,2
1.420901,1.007549,2
1.441442,0.891601,2
1.477388,0.997008,2
1.52874,0.954845,2
1.492794,0.870519,2
1.585227,0.912682,2
1.533875,0.817816,2
1.585227,0.796735,2
1.626309,0.870519,2
1.66739,0.786194,2
1.703336,0.701868,2
1.641714,0.691328,2
1.682796,0.596461,2
1.646849,0.501595,2
1.610903,0.607002,2
1.569822,0.701868,2
1.585227,0.512136,2
1.533875,0.57538,2
1.51847,0.670246,2
1.477388,0.72295,2
1.431172,0.754572,2
1.39009,0.775653,2
1.477388,0.617543,2
1.420901,0.628083,2
1.359279,0.638624,2
1.343873,0.754572,2
1.302792,0.638624,2
1.287386,0.73349,2
1.24117,0.712409,2
1.24117,0.596461,2
1.200088,0.680787,2
1.143601,0.649165,2
1.09225,0.628083,2
1.164142,0.554298,2
1.210359,0.512136,2
1.051168,0.680787,2
1.015222,0.607002,2
0.97414,0.564839,2
0.922788,0.501595,2
0.897113,0.375106,2
0.917653,0.290781,2
0.948464,0.238077,2
0.979276,0.153752,2
1.020357,0.079967,2
1.071709,0.037804,2
1.123061,0.016722,2
1.189818,-0.0149,2
1.246305,0.048345,2
1.24117,0.185374,2
1.215494,0.290781,2
1.200088,0.417269,2
1.143601,0.438351,2
1.107655,0.533217,2
1.051168,0.554298,2
0.999816,0.480513,2
0.9536,0.396188,2
0.979276,0.301321,2
1.020357,0.385647,2
1.061438,0.448891,2
1.097385,0.364566,2
1.061438,0.301321,2
1.010087,0.259159,2
1.056303,0.174833,2
1.107655,0.269699,2
1.159007,0.343484,2
1.169277,0.227537,2
1.097385,0.153752,2
1.138466,0.111589,2
1.189818,0.111589,2
-1.336692,1.766479,3
-1.162096,1.766479,3
-1.002905,1.755939,3
-0.84885,1.703235,3
-0.776957,1.33431,3
-0.931013,1.439717,3
-1.090203,1.47134,3
-1.228853,1.534584,3
-1.336692,1.439717,3
-1.454801,1.597828,3
-1.547234,1.249985,3
-1.403449,1.271066,3
-1.408585,1.102415,3
-1.526694,0.912682,3
-1.43426,0.564839,3
-1.362368,0.849438,3
-1.29561,1.02863,3
-1.290475,1.218363,3
-1.233988,1.32377,3
-1.162096,1.33431,3
-1.033716,1.271066,3
-1.126149,1.218363,3
-1.172366,1.186741,3
-1.213448,1.1762,3
-1.187772,1.134037,3
-1.223718,1.091874,3
-1.156961,1.081334,3
-1.192907,1.02863,3
-1.249394,0.870519,3
-1.218583,0.617543,3
-1.249394,0.406729,3
-1.13642,0.870519,3
-1.038851,1.007549,3
-0.925877,1.102415,3
-1.100474,0.659705,3
-0.982364,0.775653,3
-0.797498,0.923223,4
-0.853985,0.57538,3
-0.9875,0.385647,3
-0.643442,1.429177,4
-0.540739,1.608369,4
-0.44317,1.682154,4
-0.330196,1.840264,4
-0.181276,1.850805,4
-0.319926,1.62945,4
-0.186411,1.566206,4
-0.02722,1.671613,4
-0.366142,1.418636,4
-0.458576,1.387014,4
-0.530468,1.239444,4
-0.663983,1.155118,4
-0.663983,0.902142,4
-0.602361,0.617543,4
-0.515063,0.406729,4
-0.44317,0.638624,4
-0.504792,0.796735,4
-0.535603,1.039171,4
-0.453441,0.986467,4
-0.448305,1.165659,4
-0.381548,1.249985,4
-0.319926,1.260526,4
-0.273709,1.387014,4
-0.217222,1.249985,4
-0.273709,1.123496,4
-0.335331,1.123496,4
-0.376413,1.102415,4
-0.386683,1.02863,4
-0.345602,1.039171,4
-0.309655,1.018089,4
-0.355872,0.965386,4
-0.402089,0.870519,4
-0.319926,0.807275,4
-0.330196,0.58592,4
-0.355872,0.322403,4
-0.263439,0.891601,4
-0.217222,1.049711,4
-0.099113,1.355392,4
-0.078572,1.060252,4
-0.135059,0.828357,4
-0.201817,0.680787,4
-0.217222,0.301321,4
-0.083707,0.417269,4
-0.001544,0.670246,4
-1.110744,-0.299499,5
-1.043987,-0.257336,5
-0.977229,-0.204632,5
-0.910472,-0.194092,5
-0.823174,-0.215173,5
-0.735876,-0.215173,5
-0.679389,-0.215173,5
-0.628037,-0.183551,5
-0.643442,-0.288958,5
-0.699929,-0.32058,5
-0.776957,-0.331121,5
-0.85912,-0.331121,5
-0.931013,-0.373284,5
-0.982364,-0.331121,5
-1.059392,-0.394365,5
-1.049122,-0.520853,5
-0.982364,-0.489231,5
-0.905337,-0.489231,5
-0.833444,-0.478691,5
-0.782092,-0.457609,5
-0.72047,-0.425987,5
-0.735876,-0.510313,5
-0.797498,-0.584098,5
-0.84885,-0.647342,5
-0.941283,-0.605179,5
-0.889931,-0.700045,5
-1.002905,-0.647342,5
-0.925877,-0.784371,5
-1.126149,-0.605179,5
-1.126149,-0.447068,5
-1.182636,-0.362743,5
-1.249394,-0.447068,5
-1.192907,-0.499772,5
-1.280205,-0.552476,5
-1.213448,-0.647342,5
-1.280205,-0.710586,5
-1.280205,-0.879237,5
-1.218583,-0.794912,5
-1.162096,-0.752749,5
-1.079933,-0.721127,5
-1.00804,-0.815993,5
-0.956688,-0.900319,5
-1.013175,-0.910859,5
-1.064527,-0.837075,5
-1.13642,-0.879237,5
-1.187772,-0.931941,5
-1.244259,-0.995185,5
-1.177501,-1.047889,5
-1.141555,-0.984644,5
-1.079933,-0.963563,5
-1.033716,-1.026807,5
-0.961824,-1.037348,5
-1.002905,-1.111133,5
-1.054257,-1.205999,5
-1.079933,-1.079511,5
-1.121014,-1.153296,5
-1.095338,-1.269243,5
-0.956688,-1.153296,5
-0.920742,-1.248162,5
-0.982364,-1.269243,5
-1.038851,-1.343028,5
-1.085068,-1.395732,5
-1.028581,-1.469517,5
-1.069662,-1.543302,5
-0.982364,-1.406273,5
-0.925877,-1.353569,5
-0.879661,-1.311406,5
-0.807768,-1.353569,5
-0.864255,-1.406273,5
-0.910472,-1.501139,5
-0.977229,-1.532761,5
-1.002905,-1.627627,5
-0.925877,-1.711953,5
-0.879661,-1.627627,5
-0.833444,-1.52222,5
-0.771822,-1.490598,5
-0.741011,-1.36411,5
-0.653713,-1.406273,5
-0.705064,-1.458976,5
-0.73074,-1.606546,5
-0.797498,-1.617087,5
-0.766687,-1.733034,5
-0.84885,-1.722494,5
-0.689659,-1.701412,5
-0.658848,-1.596005,5
-0.633172,-1.501139,5
-0.58182,-1.448435,5
-0.566415,-1.574924,5
-0.612631,-1.659249,5
-0.530468,-1.627627,5
-0.653713,-0.510313,5
-0.648577,-0.394365,5
-0.607496,-0.489231,5
-0.58182,-0.404906,5
-0.586955,-0.288958,5
-0.561279,-0.183551,5
-0.484252,-0.204632,5
-0.520198,-0.278417,5
-0.525333,-0.394365,5
-0.545874,-0.478691,5
-0.494522,-0.489231,5
-0.479116,-0.394365,5
-0.458576,-0.278417,5
-0.402089,-0.257336,5
-0.407224,-0.362743,5
-0.4329,-0.425987,5
-0.448305,-0.520853,5
-0.402089,-0.489231,5
-0.371278,-0.415446,5
-0.345602,-0.32058,5
-0.319926,-0.457609,5
-0.345602,-0.531394,5
-0.381548,-0.594638,5
-0.335331,-0.668423,5
-0.299385,-0.594638,5
-0.289115,-0.689505,5
-0.30452,-0.76329,5
-0.237763,-0.710586,5
-0.263439,-0.805452,5
-0.283979,-0.889778,5
-0.237763,-0.953022,5
-0.196681,-0.826534,5
-0.160735,-0.76329,5
-0.099113,-0.815993,5
-0.135059,-0.858156,5
-0.058031,-0.910859,5
-0.109383,-0.974104,5
-0.176141,-0.963563,5
-0.278844,-1.005726,5
-0.232628,-1.079511,5
-0.160735,-1.090051,5
-0.104248,-1.111133,5
-0.032356,-1.079511,5
-0.047761,-1.205999,5
-0.058031,-1.300865,5
-0.119654,-1.258703,5
-0.196681,-1.21654,5
-0.289115,-1.111133,5
-0.268574,-1.248162,5
-0.335331,-1.237621,5
-0.227492,-1.343028,5
-0.171005,-1.353569,5
-0.099113,-1.416813,5
-0.140194,-1.501139,5
-0.201817,-1.458976,5
-0.273709,-1.458976,5
-0.325061,-1.37465,5
-0.396953,-1.343028,5
-0.448305,-1.406273,5
-0.402089,-1.448435,5
-0.335331,-1.501139,5
-0.268574,-1.627627,5
-0.212087,-1.585464,5
-0.350737,-1.627627,5
-0.396953,-1.564383,5
-0.468846,-1.564383,5
-0.509928,-1.490598,5
-0.438035,-1.638168,5
-0.489387,-0.868697,6
-0.515063,-0.995185,6
-0.535603,-0.9214,6
-0.535603,-0.826534,6
-0.59209,-0.815993,6
-0.586955,-0.879237,6
-0.576685,-0.953022,6
-0.576685,-1.037348,6
-0.648577,-1.047889,6
-0.633172,-0.974104,6
-0.633172,-0.910859,6
-0.653713,-0.847615,6
-0.705064,-0.858156,6
-0.679389,-0.953022,6
-0.7102,-1.016266,6
-0.73074,-0.931941,6
