@relation D31.txt-weka.filters.unsupervised.attribute.NumericToNominal-R3-weka.filters.unsupervised.attribute.Standardize

@attribute f1 numeric
@attribute f2 numeric
@attribute label {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
1.134598,-1.685925,1
1.354381,-1.449794,1
1.163798,-1.611985,1
1.158774,-1.834486,1
1.230361,-1.773494,1
1.001787,-1.69751,1
1.16474,-1.519986,1
1.080281,-1.612326,1
1.398337,-1.554741,1
1.229105,-1.601422,1
1.329263,-1.390506,1
1.364742,-1.874352,1
1.425339,-1.604489,1
1.195823,-1.696828,1
1.168822,-1.627318,1
0.903827,-1.698873,1
1.202417,-1.691376,1
1.294098,-1.687969,1
1.248257,-1.599718,1
1.054535,-1.685243,1
1.096293,-1.536341,1
1.172275,-1.700917,1
1.263956,-1.81813,1
1.130831,-1.607896,1
1.240094,-1.532253,1
1.18609,-1.606533,1
1.447631,-1.578933,1
1.076199,-1.631066,1
1.417804,-1.632088,1
1.219999,-1.662073,1
1.201161,-1.592563,1
1.134284,-1.639584,1
1.344962,-1.634814,1
1.157204,-1.388802,1
1.1616,-1.700576,1
1.119527,-1.793938,1
1.165996,-1.419469,1
1.102887,-1.629022,1
1.265526,-1.524416,1
1.130517,-1.564963,1
1.149669,-1.603126,1
1.249827,-1.731583,1
1.105399,-1.731243,1
1.189858,-1.544519,1
1.225337,-1.720339,1
1.362544,-1.834826,1
1.054535,-1.463765,1
1.077455,-1.745213,1
1.226593,-1.54043,1
1.416548,-1.693762,1
1.331775,-1.662755,1
1.14339,-1.620163,1
1.210894,-1.408565,1
1.305401,-1.532934,1
1.099119,-1.6096,1
1.141192,-1.678088,1
1.193626,-1.498179,1
1.185148,-1.453883,1
1.418432,-1.506697,1
1.036638,-1.77179,1
1.076199,-1.694784,1
1.198335,-1.822901,1
1.317332,-1.494431,1
1.032556,-1.814042,1
1.199591,-1.806545,1
1.113562,-1.471942,1
1.096607,-1.634814,1
1.34402,-1.523734,1
1.214348,-1.70228,1
1.369452,-1.717613,1
1.107596,-1.720339,1
1.244803,-1.763953,1
1.162228,-1.711821,1
1.193626,-1.806545,1
1.201789,-1.650829,1
0.87965,-1.68831,1
1.497553,-1.610963,1
1.144017,-1.848456,1
1.162228,-1.712502,1
1.197707,-1.595629,1
1.431305,-1.711821,1
1.080908,-1.649466,1
1.153437,-1.722724,1
1.160972,-1.654577,1
1.100375,-1.883211,1
1.301633,-1.709435,1
1.247001,-1.567689,1
1.077455,-1.537364,1
1.110736,-1.875715,1
1.325495,-1.54486,1
1.147785,-1.659006,1
1.071803,-1.678088,1
1.222511,-1.650488,1
1.311052,-1.655599,1
1.376359,-1.69785,1
1.28248,-1.794279,1
1.163484,-1.751005,1
1.077141,-1.524756,1
1.237268,-1.619822,1
1.26741,-1.417765,1
0.239455,-0.672575,2
0.193929,-0.678367,2
0.166927,-0.987415,2
0.138669,-0.741403,2
0.101934,-0.957771,2
-0.003561,-0.821136,2
0.070851,-0.796943,2
0.10319,-0.824884,2
0.279958,-0.982304,2
0.221245,-0.785018,2
0.063315,-0.793877,2
0.030034,-0.961519,2
0.074618,-0.716189,2
0.085922,-0.824884,2
0.170067,-0.832721,2
0.175718,-0.668145,2
0.0495,-0.586028,2
0.106644,-0.778203,2
0.105388,-0.909046,2
0.0068,-0.728115,2
0.052326,-0.817388,2
0.255782,-0.851461,2
0.004288,-0.850439,2
-0.091788,-0.935623,2
0.145263,-0.803758,2
0.158136,-1.064081,2
-0.013923,-0.616694,2
-0.037785,-0.958452,2
0.241967,-0.782973,2
0.162531,-0.731522,2
0.119203,-0.542073,2
-0.000108,-0.903253,2
0.235374,-0.802054,2
0.08498,-0.759122,2
0.111353,-0.876335,2
0.12925,-0.843284,2
0.242595,-1.074303,2
-0.083939,-0.95743,2
0.10947,-0.776158,2
0.157822,-0.788425,2
0.20429,-0.794217,2
0.185766,-0.853846,2
0.221873,-0.750263,2
0.358138,-0.814662,2
0.161589,-0.825225,2
0.033488,-0.712441,2
0.018417,-0.831017,2
0.175718,-0.765255,2
0.121401,-0.855891,2
-0.024912,-0.857594,2
0.204604,-0.838513,2
0.146205,-0.83715,2
-0.075148,-1.060673,2
0.014335,-0.622827,2
0.098794,-0.93426,2
0.122029,-0.935282,2
0.095341,-0.728115,2
0.164101,-0.788425,2
-0.017062,-0.74924,2
-0.150188,-0.87395,2
0.000206,-0.777521,2
0.010881,-0.742426,2
-0.112197,-0.846691,2
0.149658,-0.780929,2
0.130506,-0.768322,2
0.014335,-0.957089,2
