@relation R15.txt-weka.filters.unsupervised.attribute.NumericToNominal-R3-weka.filters.unsupervised.attribute.Standardize

@attribute f1 numeric
@attribute f2 numeric
@attribute label {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}

@data
-0.059871,0.046708,1
0.107918,-0.064794,1
0.030759,0.002598,1
-0.081917,-0.021296,1
-0.074568,0.137993,1
-0.049461,-0.023746,1
0.073625,-0.034774,1
-0.143154,-0.035999,1
0.047906,-0.048865,1
-0.202553,0.145957,1
-0.189694,0.070601,1
-0.087428,0.087143,1
-0.110086,0.069989,1
-0.146828,-0.007205,1
0.073013,-0.021296,1
-0.182958,0.032617,1
0.060765,-0.071533,1
0.043007,-0.046414,1
0.019737,0.085918,1
0.12139,0.001372,1
0.08771,0.112874,1
-0.089265,-0.000466,1
-0.028028,0.186392,1
0.109755,-0.239398,1
-0.013331,-0.084398,1
-0.061708,0.122064,1
0.118941,0.192518,1
0.126289,-0.020683,1
0.053417,0.189455,1
0.088322,-0.081948,1
-0.020067,0.077953,1
0.091996,-0.009655,1
0.10853,-0.014556,1
-0.045787,0.106748,1
0.158132,0.158823,1
-0.016393,-0.013944,1
-0.023742,0.013013,1
-0.027416,0.191906,1
0.056479,0.00321,1
0.079137,-0.223469,1
0.62537,0.014851,2
0.63823,0.019752,2
0.735597,0.05406,2
0.609448,-0.016394,2
0.717225,-0.018845,2
0.682933,-0.000466,2
0.719675,0.155759,2
0.626595,-0.190386,2
0.53229,0.043645,2
0.720287,-0.055604,2
0.382259,0.043645,2
0.69763,0.309534,2
0.727636,0.011787,2
0.775401,0.006274,2
0.695793,-0.057442,2
0.724574,0.060186,2
0.753355,0.061412,2
0.598426,-0.091137,2
0.543313,-0.017007,2
0.460643,0.008724,2
0.654151,-0.152402,2
0.499222,0.093882,2
0.632718,-0.111355,2
0.584341,-0.048865,2
0.53229,0.095107,2
0.648028,0.28319,2
0.487587,-0.081948,2
0.81153,-0.050703,2
0.663337,0.318111,2
0.680483,-0.056217,2
0.56597,-0.105841,2
0.554335,0.02404,2
0.642516,-0.0409,2
0.488812,0.030167,2
0.690281,-0.012719,2
0.61251,-0.092975,2
0.580667,0.009949,2
0.697017,-0.013331,2
0.667011,0.117775,2
0.644966,0.125127,2
0.420839,0.455344,3
0.288567,0.460245,3
0.332657,0.4823,3
0.377973,0.427162,3
0.374299,0.508644,3
0.295303,0.54234,3
0.311225,0.541115,3
0.467379,0.307083,3
0.310612,0.424099,3
0.368175,0.331589,3
0.49861,0.58645,3
0.37736,0.535601,3
0.351029,0.591352,3
0.339394,0.578486,3
0.469216,0.593802,3
0.371237,0.347518,3
