@relation jain.txt-weka.filters.unsupervised.attribute.NumericToNominal-R3-weka.filters.unsupervised.attribute.Standardize

@attribute f1 numeric
@attribute f2 numeric
@attribute label {1,2}

@data
-2.383011,0.802986,2
-2.39316,0.522911,2
-2.134365,0.500202,2
-1.936464,0.310962,2
-1.971985,0.53048,2
-1.926315,0.560759,2
-1.951687,0.871112,2
-2.002431,0.924099,2
-2.058249,0.999795,2
-2.124217,1.143617,2
-2.174961,1.363136,2
-2.154663,1.46911,2
-2.073473,1.46911,2
-2.022729,1.196605,2
-1.738562,0.35638,2
-1.692892,0.659163,2
-1.748711,0.984656,2
-1.753785,1.173896,2
-1.875571,1.2723,2
-1.911092,1.46154,2
-1.804529,1.46154,2
-1.855273,1.537236,2
-1.941538,1.703767,2
-2.007505,1.779463,2
-1.951687,1.855159,2
-1.647223,2.150373,2
-1.439172,2.354752,2
-1.479767,2.02169,2
-1.535586,1.355566,2
-1.332609,1.612932,2
-1.190526,1.65835,2
-1.124559,1.718906,2
-1.28694,2.226069,2
-1.205749,2.332043,2
-1.119484,2.377461,2
-1.078889,2.362322,2
-1.03322,2.233639,2
-1.043368,2.180652,2
-0.931731,1.824881,2
-0.926657,1.908146,2
-1.231121,1.325288,2
-1.236196,1.408553,2
-1.175303,1.499388,2
-1.134708,1.46911,2
-1.073815,1.491819,2
-1.053517,1.597793,2
-1.007848,1.590223,2
-1.028145,1.514527,2
-1.038294,1.453971,2
-1.043368,1.400984,2
-0.723681,1.915716,2
-0.672937,1.923285,2
-0.68816,1.976273,2
-0.743979,2.226069,2
-0.789648,2.263917,2
-0.525779,1.998981,2
-0.5613,1.900577,2
-0.297431,2.074677,2
-0.865764,1.393414,2
-0.784574,1.363136,2
-0.698309,1.302579,2
-0.64249,1.332857,2
-0.617118,1.219313,2
-0.64249,1.537236,2
-0.581598,1.529667,2
-0.520705,1.484249,2
-0.495333,1.506958,2
-0.429365,1.431262,2
-0.429365,1.325288,2
-0.449663,1.242022,2
-0.495333,1.045213,2
-0.51563,0.992225,2
-0.30758,1.537236,2
-0.145199,1.741615,2
-0.119827,1.809742,2
-0.00819,1.620502,2
-0.231464,1.226883,2
-0.343101,0.924099,2
-0.272059,0.772707,2
-0.282208,0.689442,2
-0.277133,0.628885,2
-0.287282,0.507772,2
-0.195943,0.659163,2
-0.211166,0.90139,2
-0.119827,1.045213,2
-0.084306,1.158757,2
-0.058934,1.219313,2
0.083149,1.158757,2
0.11867,1.105769,2
-0.13505,0.886251,2
-0.038636,0.848403,2
0.159266,0.818125,2
0.33687,0.53048,2
-0.124901,0.371519,2
-0.084306,0.462354,2
-0.028487,0.416936,2
0.017182,0.386658,2
-1.03322,0.787846,1
-1.017996,0.704581,1
-1.017996,0.54562,1
-0.972327,0.447215,1
-0.911434,0.507772,1
-0.850541,0.651594,1
-0.794723,0.742429,1
-0.708458,0.742429,1
-0.728755,0.628885,1
-0.779499,0.598607,1
-0.794723,0.454784,1
-0.820095,0.424506,1
-0.845467,0.318532,1
-0.855615,0.15957,1
