@relation pathbased.txt-weka.filters.unsupervised.attribute.NumericToNominal-R3-weka.filters.unsupervised.attribute.Standardize

@attribute f1 numeric
@attribute f2 numeric
@attribute label {1,2,3}

@data
-0.920427,-2.072846,1
-0.956776,-2.132615,1
-1.090057,-1.944772,1
-1.096115,-1.95331,1
-1.174872,-1.774005,1
-1.235455,-1.808159,1
-1.265746,-1.654469,1
-1.326328,-1.611778,1
-1.441434,-1.44955,1
-1.405085,-1.270245,1
-1.399027,-1.184862,1
-1.568657,-1.108017,1
-1.574715,-0.920174,1
-1.502017,-0.877483,1
-1.59289,-0.723793,1
-1.635298,-0.63841,1
-1.629239,-0.43349,1
-1.714055,-0.399337,1
-1.629239,-0.305415,1
-1.665589,-0.160264,1
-1.586832,-0.083419,1
-1.69588,0.078809,1
-1.677705,0.138577,1
-1.550482,0.138577,1
-1.59289,0.386188,1
-1.641356,0.403265,1
-1.574715,0.693567,1
-1.544424,0.710644,1
-1.4899,0.847257,1
-1.568657,0.958255,1
-1.417201,1.111945,1
-1.465667,1.205866,1
-1.32027,1.274173,1
-1.344503,1.385171,1
-1.21728,1.513245,1
-1.211222,1.666935,1
-1.150639,1.752318,1
-1.077941,1.69255,1
-0.920427,1.880393,1
-0.987067,1.940161,1
-0.835611,2.093851,1
-0.835611,1.957238,1
-0.696272,2.19631,1
-0.659923,2.068236,1
-0.502409,2.221925,1
-0.502409,2.290232,1
-0.332778,2.256079,1
-0.332778,2.367077,1
-0.15709,2.324385,1
-0.144973,2.486613,1
-0.035925,2.460998,1
0.000424,2.290232,1
0.121589,2.341462,1
0.15188,2.409768,1
0.32151,2.418307,1
0.242753,2.256079,1
0.497199,2.19631,1
0.551723,2.239002,1
0.648655,2.170696,1
0.715295,2.187772,1
0.812227,2.068236,1
0.812227,1.923084,1
0.951566,1.89747,1
0.969741,1.974314,1
1.060614,1.701088,1
1.139371,1.74378,1
1.236303,1.675473,1
1.236303,1.53886,1
1.284769,1.427862,1
1.357467,1.427862,1
1.387758,1.043638,1
1.424108,1.154636,1
1.460457,0.949717,1
1.472574,0.872872,1
1.430166,0.702106,1
1.508923,0.616722,1
1.575563,0.685029,1
1.527098,0.360573,1
1.678553,0.360573,1
1.581622,0.1215,1
1.720961,0.147115,1
1.69067,-0.100496,1
1.617971,-0.151726,1
1.642204,-0.348107,1
1.569505,-0.416414,1
1.636146,-0.672563,1
1.551331,-0.655486,1
1.490748,-0.877483,1
1.593738,-0.903097,1
1.478632,-1.176324,1
1.58768,-1.159247,1
1.357467,-1.304398,1
1.411991,-1.526394,1
1.302943,-1.526394,1
1.327176,-1.637392,1
1.230244,-1.731314,1
1.230244,-1.791082,1
1.060614,-1.919157,1
1.127255,-2.00454,1
0.927333,-2.115538,1
0.915217,-2.183845,1
0.842518,-2.311919,1
0.806168,-2.235074,1
1.545272,-0.100496,1
1.436224,0.036117,1
